ID,PC modell ,ID-nr PC  gml,ID-nr strømlader gml,SERIENUMMER  (S/N)  på PC,WiFi  MAC-adr  (IPv4),Ethernet MAC-adr  
117,Lenovo L13 Yoga,LA-048,LA-PWR-048,R9-0XV2LA,Står tår ikke,Står ikke
118,Lenovo L13 Yoga,LA-86,LA-PWR-103,R9-0XV2L7,54-8D-5A-BA-88-F4,48-2A-E3-81-A5-7C
119,Lenovo L13 Yoga,LA-29,LA-PWR-29,R9-0XV2K3,54-8D-5A-BA-8C-FE,48-2A-E3-81-A1-5E
120,Lenovo L13 Yoga,LA-55,,R9-0XV2L8 20R5-000HMX,54-8D-5A-BA-89-25,54-8D-5A-BA-89-29
121,Lenovo L13 Yoga,LA-12,LA-12,R9-0XV2LE,54-8D-5A-BC-2E-88,48-2A-E3-81-A5-7D
122,Lenovo L13 Yoga,LA-048,LA-PWR-048,R9-0XV2LA,54-8D-5A-BA88-C1,48-2A-E3-81-A5-7F
123,Lenovo L13 Yoga,LA-87,Lader borte,R9-0XV2KW,54-8D-5A-BA-8D-99,54-8D-5A-BA-8D-9D
124,Lenovo L13 Yoga,17,LA-PWR-17,R9-0XV2M0,00-15-5D-05-09-CF,48-2A-E3-81-AB-83
125,Lenovo L13 Yoga,LA-56,,R9-0XV2LQ,54-8D-5A-BD-7D-B5,48-2A-E3-81-A5-76
126,Lenovo L13 Yoga,LA-98,LA-PWR-98,R9-0XV7NT,B8-9A-2A-47-88-7B,48-2A-E3-81-A4-30
127,Lenovo L13 Yoga,La-77,,R9-0XV7NL,B8-9A-2A-47-88-44,48-2A-E3-81-A4-27
128,Lenovo L13 Yoga,,97,R9-0XV2LB,54-8D-5A-BA-8C-F4,48-2A-E3-81-A5-80
129,Lenovo L13 Yoga,LA-96,LA-PWR-96,R9-0XV7NQ,B8-9A-2A-47-76-A1,48-2A-E3-81-81-32
130,Lenovo L13 Yoga,LA-47,LA-47,R9-0XV7Q6,54-8D-5A-B6-3E-97,48-2A-E3-81-8A-1C
